,loss,acc,val_loss,val_acc
0,0.7449 ,0.5688 ,0.6802 ,0.6176
1,0.6971 ,0.5883 ,0.6553 ,0.6224
2,0.6752 ,0.6061 ,0.6208 ,0.6220
3,0.6454 ,0.6331 ,0.5849 ,0.7052
4,0.6109 ,0.6772 ,0.5381 ,0.7470
5,0.5869 ,0.6978 ,0.5381 ,0.7689
6,0.5638 ,0.7189 ,0.5823 ,0.7008
7,0.5388 ,0.7383 ,0.5449 ,0.7337
8,0.5256 ,0.7464 ,0.4826 ,0.7929
9,0.5278 ,0.7432 ,0.4990 ,0.7799
10,0.5309 ,0.7399 ,0.4554 ,0.8001
11,0.5123 ,0.7515 ,0.4359 ,0.8038
12,0.4965 ,0.7661 ,0.4274 ,0.8055
13,0.4787 ,0.7714 ,0.4038 ,0.8045
14,0.5023 ,0.7519 ,0.6117 ,0.6915
15,0.4931 ,0.7604 ,0.6492 ,0.6470
16,0.4704 ,0.7728 ,0.4476 ,0.7984
17,0.4720 ,0.7738 ,0.3964 ,0.8213
18,0.4670 ,0.7779 ,0.3958 ,0.8230
19,0.4747 ,0.7725 ,0.3846 ,0.8127
20,0.4634 ,0.7803 ,0.4373 ,0.7864
21,0.4503 ,0.7889 ,0.4165 ,0.8059
22,0.4439 ,0.7901 ,0.4203 ,0.8031
23,0.4548 ,0.7834 ,0.4344 ,0.7823
24,0.4273 ,0.7984 ,0.3697 ,0.8449
25,0.4388 ,0.7889 ,0.4117 ,0.7901
26,0.4373 ,0.7910 ,0.4232 ,0.7665
27,0.4408 ,0.7830 ,0.4357 ,0.7874
28,0.4339 ,0.7913 ,0.4759 ,0.7761
29,0.4231 ,0.7989 ,0.3890 ,0.8237
30,0.4025 ,0.8076 ,0.3508 ,0.8199
31,0.4086 ,0.8069 ,0.3697 ,0.8305
32,0.4193 ,0.8003 ,0.3701 ,0.8247
33,0.4152 ,0.8053 ,0.4079 ,0.7977
34,0.4207 ,0.8005 ,0.4381 ,0.7912
35,0.4291 ,0.7973 ,0.4464 ,0.7569
36,0.4337 ,0.7960 ,0.5029 ,0.7545
37,0.4251 ,0.7994 ,0.3539 ,0.8370
38,0.4236 ,0.8015 ,0.3547 ,0.8497
39,0.4208 ,0.8025 ,0.4779 ,0.7881
40,0.4270 ,0.7975 ,0.3868 ,0.8076
41,0.4157 ,0.8066 ,0.3763 ,0.8107
42,0.3921 ,0.8181 ,0.3945 ,0.8124
43,0.3938 ,0.8150 ,0.4128 ,0.8062
44,0.3939 ,0.8143 ,0.4672 ,0.7764
45,0.3984 ,0.8140 ,0.2913 ,0.8668
46,0.4089 ,0.8108 ,0.3758 ,0.8370
47,0.3885 ,0.8220 ,0.4760 ,0.7532
48,0.3925 ,0.8213 ,0.3027 ,0.8915
49,0.3871 ,0.8211 ,0.3741 ,0.8292
50,0.4140 ,0.8070 ,0.3236 ,0.8439
51,0.3988 ,0.8127 ,0.3358 ,0.8456
52,0.3872 ,0.8179 ,0.3422 ,0.8579
53,0.3981 ,0.8119 ,0.5765 ,0.7285
54,0.3890 ,0.8134 ,0.3791 ,0.8199
55,0.3875 ,0.8180 ,0.3190 ,0.8425
56,0.3828 ,0.8199 ,0.2940 ,0.8682
57,0.3851 ,0.8193 ,0.3295 ,0.8555
58,0.3917 ,0.8172 ,0.4342 ,0.7853
59,0.3940 ,0.8167 ,0.2992 ,0.8850
60,0.3751 ,0.8251 ,0.3020 ,0.8809
61,0.3847 ,0.8209 ,0.3438 ,0.8538
62,0.3830 ,0.8201 ,0.4433 ,0.7675
63,0.3626 ,0.8314 ,0.3320 ,0.8470
64,0.3674 ,0.8283 ,0.3845 ,0.8216
65,0.3914 ,0.8156 ,0.3034 ,0.8737
66,0.3833 ,0.8220 ,0.2887 ,0.8613
67,0.3683 ,0.8294 ,0.3370 ,0.8309
68,0.3747 ,0.8261 ,0.3776 ,0.8261
69,0.3593 ,0.8336 ,0.3287 ,0.8531
70,0.3680 ,0.8287 ,0.3716 ,0.8199
71,0.3622 ,0.8338 ,0.2618 ,0.8815
72,0.3501 ,0.8392 ,0.3248 ,0.8388
73,0.3745 ,0.8265 ,0.2881 ,0.8843
74,0.3713 ,0.8291 ,0.3760 ,0.8107
75,0.3766 ,0.8240 ,0.3000 ,0.8819
76,0.3597 ,0.8326 ,0.3663 ,0.8490
77,0.3452 ,0.8386 ,0.3422 ,0.8261
78,0.3240 ,0.8494 ,0.2566 ,0.8925
79,0.3119 ,0.8531 ,0.2844 ,0.8449
80,0.3032 ,0.8603 ,0.3078 ,0.8514
81,0.2980 ,0.8641 ,0.2612 ,0.8726
82,0.2978 ,0.8634 ,0.6326 ,0.7032
83,0.3138 ,0.8575 ,0.2113 ,0.9195
84,0.3248 ,0.8514 ,0.2396 ,0.8826
85,0.2923 ,0.8686 ,0.2381 ,0.9038
86,0.3084 ,0.8584 ,0.2418 ,0.9041
87,0.2935 ,0.8629 ,0.3328 ,0.8504
88,0.3044 ,0.8605 ,0.4339 ,0.7970
89,0.3089 ,0.8589 ,0.2809 ,0.8843
90,0.3149 ,0.8584 ,0.3399 ,0.8364
91,0.3007 ,0.8649 ,0.2926 ,0.8809
92,0.3081 ,0.8610 ,0.2222 ,0.8997
93,0.2893 ,0.8707 ,0.2949 ,0.8644
94,0.3160 ,0.8550 ,0.2192 ,0.8997
95,0.3183 ,0.8550 ,0.2821 ,0.8679
96,0.3094 ,0.8599 ,0.2919 ,0.8689
97,0.3177 ,0.8544 ,0.2136 ,0.9148
98,0.3170 ,0.8563 ,0.2749 ,0.8805
99,0.2863 ,0.8713 ,0.2373 ,0.9021
100,0.2980 ,0.8634 ,0.2413 ,0.9083
101,0.3053 ,0.8605 ,0.2978 ,0.8908
102,0.3305 ,0.8501 ,0.3835 ,0.8295
103,0.3164 ,0.8546 ,0.2767 ,0.8812
104,0.3396 ,0.8422 ,0.2665 ,0.8915
105,0.3234 ,0.8548 ,0.2455 ,0.9062
106,0.3046 ,0.8602 ,0.2728 ,0.8839
107,0.3177 ,0.8569 ,0.3979 ,0.8090
108,0.3089 ,0.8619 ,0.2148 ,0.9158
109,0.3061 ,0.8610 ,0.2747 ,0.8672
110,0.3287 ,0.8464 ,0.3009 ,0.8583
111,0.2889 ,0.8691 ,0.2235 ,0.8925
112,0.3081 ,0.8591 ,0.2612 ,0.8877
113,0.3074 ,0.8565 ,0.2114 ,0.8939
114,0.3090 ,0.8604 ,0.2865 ,0.8702
115,0.3313 ,0.8481 ,0.2024 ,0.9206
116,0.3037 ,0.8634 ,0.3752 ,0.8295
