,loss,acc,val_loss,val_acc
271,0.0204,0.9932,0.0139,0.9942
272,0.0253,0.9925,0.0016,1
273,0.0208,0.9927,0.0033,0.9986
274,0.0147,0.9954,0.0015,1
275,0.0114,0.9962,0.1143,0.9688
276,0.0216,0.9935,0.0026,0.999
277,0.0164,0.9946,5.76E-04,1
278,0.0402,0.9863,6.92E-04,1
279,0.0369,0.9877,0.0043,0.9976
280,0.0162,0.9949,6.51E-04,1
281,0.0179,0.9937,0.0317,0.9908
282,0.0401,0.9868,0.0559,0.9801
283,0.0314,0.9896,0.0012,1
284,0.027,0.9916,0.0107,0.9962
285,0.0274,0.9907,0.1278,0.9589
286,0.0168,0.9942,0.0014,0.9997
287,0.0268,0.9924,0.0046,0.9997
288,0.0159,0.9951,5.70E-04,1
289,0.0289,0.9904,0.0122,0.9983
290,0.024,0.992,0.0013,0.9997
291,0.0283,0.9906,0.0102,0.9969
292,0.0141,0.9951,0.029,0.9935
293,0.0237,0.9922,0.0064,0.9986
294,0.0206,0.9932,0.0134,0.9949
295,0.0199,0.9938,0.0295,0.989
296,0.0235,0.9926,4.57E-04,1
297,0.0221,0.9929,0.09,0.9743
298,0.0194,0.9947,0.0012,1
299,0.0164,0.9946,2.09E-04,1
300,0.0131,0.9955,2.33E-04,1
301,0.0181,0.9942,0.022,0.9935
302,0.0148,0.9949,5.13E-04,1
303,0.0241,0.9924,0.0136,0.9932
304,0.0245,0.992,0.0299,0.9904
305,0.0179,0.9942,0.014,0.9932
306,0.02,0.9938,7.08E-04,1
307,0.019,0.994,0.0028,0.9997
308,0.024,0.9923,0.0059,0.9973
309,0.0123,0.9961,4.48E-04,1
310,0.0204,0.9936,5.14E-04,1
311,0.0264,0.9917,0.0056,0.999
312,0.0179,0.9944,3.04E-04,1
313,0.0196,0.9938,0.0612,0.9774
314,0.0168,0.994,0.0041,0.9983
315,0.0133,0.9959,0.0029,0.9993
316,0.0256,0.9913,8.78E-04,1
317,0.0173,0.9944,2.01E-04,1
318,0.0161,0.9948,0.0025,0.9997
319,0.0277,0.9917,0.0019,1
320,0.0153,0.9952,5.83E-04,1
321,0.0183,0.9938,6.78E-04,0.9997
322,0.0135,0.9954,1.40E-04,1
323,0.0231,0.9929,2.52E-04,1
324,0.0266,0.9922,7.20E-04,1
325,0.0276,0.9912,0.0025,0.9997
326,0.0089,0.9972,2.23E-04,1
327,0.0219,0.9928,0.0214,0.9952
328,0.0228,0.993,0.0012,0.9997
329,0.0188,0.9935,0.0098,0.9973
330,0.0188,0.9938,0.0042,0.9979
331,0.0117,0.9963,3.84E-04,1
332,0.0236,0.9922,3.91E-04,1
333,0.0152,0.9952,8.31E-04,0.9997
334,0.0157,0.9951,0.0043,0.9997
335,0.017,0.9944,4.54E-04,1
336,0.0141,0.9953,2.18E-04,1
337,0.0284,0.9913,0.0021,1
338,0.0145,0.9952,2.63E-04,1
339,0.0099,0.9973,0.0161,0.9952
340,0.0275,0.9912,6.17E-04,1
341,0.0164,0.9954,2.74E-04,1
342,0.0208,0.9936,0.0016,0.9997
343,0.0167,0.9953,0.0012,0.9997
344,0.0193,0.9941,0.0022,0.999
345,0.0125,0.996,5.75E-04,1
346,0.0131,0.9955,0.0252,0.9908
347,0.0067,0.9979,1.31E-04,1
348,0.018,0.9947,4.87E-04,1
349,0.0319,0.9903,0.0057,0.9983
350,0.022,0.9926,0.0051,0.9993
351,0.0164,0.9952,0.0018,0.9993
352,0.022,0.9933,8.10E-04,1
353,0.0183,0.9938,5.51E-04,1
354,0.0116,0.9961,9.31E-04,1
355,0.0126,0.9957,3.44E-04,1
356,0.0215,0.9936,4.85E-04,1
357,0.0096,0.997,2.01E-04,1
358,0.0531,0.9824,0.0023,0.9997
359,0.0088,0.997,1.11E-04,1
360,0.0425,0.9873,6.01E-04,1
361,0.0224,0.9935,0.0138,0.9959
362,0.0279,0.9916,0.0453,0.9791
363,0.0235,0.992,6.52E-04,1
364,0.0119,0.9963,3.90E-04,1
365,0.0169,0.9946,0.0028,0.9997
366,0.0123,0.996,0.0011,0.9997
367,0.0131,0.9954,0.0153,0.9966
368,0.0163,0.9947,0.002,0.9997
369,0.0159,0.9949,3.69E-04,1
370,0.0225,0.9936,8.46E-04,1
371,0.0143,0.9954,0.001,0.9997
372,0.0141,0.9959,0.0026,0.9997
373,0.0144,0.9954,0.0194,0.9908
374,0.0153,0.9958,6.26E-04,1
375,0.0154,0.9947,0.0059,0.9966
376,0.0157,0.9951,0.0015,1
377,0.0111,0.996,8.23E-04,1
378,0.0146,0.9951,0.0015,0.9997
379,0.0159,0.9947,0.0018,0.9997
380,0.017,0.995,0.0013,1
381,0.0118,0.9963,2.28E-04,1
382,0.0224,0.9931,0.0074,0.9979
383,0.0144,0.9949,0.0071,0.9976
384,0.0092,0.997,0.0241,0.9897
385,0.0159,0.9946,0.0016,1
386,0.0175,0.9948,0.0017,0.9997
387,0.019,0.9936,0.0011,0.9997
388,0.0118,0.9964,8.71E-04,1
389,0.0092,0.9973,5.87E-04,1
390,0.0234,0.993,0.0011,1
391,0.0122,0.9963,8.15E-04,1
392,0.0117,0.9964,1.67E-04,1
393,0.0168,0.9943,5.27E-04,1
394,0.0126,0.9957,0.0042,0.999
395,0.0176,0.9941,6.59E-04,1
396,0.0223,0.9933,4.00E-04,1
397,0.0172,0.9943,0.0013,1
398,0.0104,0.9964,0.0011,0.9997
399,0.0496,0.9844,8.68E-04,1
400,0.0169,0.9943,0.0033,0.999
401,0.0159,0.9951,2.60E-04,1
402,0.0169,0.9947,0.001,0.9997
403,0.0103,0.9966,9.20E-04,1
404,0.0177,0.9941,0.0093,0.9966
405,0.0211,0.9938,0.0035,0.9993
406,0.0175,0.9943,4.71E-04,1
407,0.0057,0.9981,1.25E-04,1
408,0.0249,0.9927,9.17E-04,1
409,0.0121,0.9962,4.05E-04,1
410,0.0182,0.9945,6.04E-04,1
411,0.0167,0.9947,0.0041,0.9983
412,0.0177,0.9944,0.0034,0.999
413,0.0348,0.9895,0.0011,1
414,0.0132,0.9959,0.0424,0.987
415,0.015,0.9951,5.14E-04,1
416,0.0171,0.9943,0.0019,0.999
417,0.0087,0.997,0.005,0.9986
418,0.0133,0.9962,0.0014,0.9993
419,0.0078,0.9976,0.0311,0.9853
420,0.017,0.995,0.0716,0.9723
421,0.0116,0.996,0.0019,1
422,0.0196,0.9938,0.0055,0.9983
423,0.0085,0.9974,0.0083,0.9962
424,0.0117,0.9961,2.77E-04,1
425,0.0222,0.9929,0.002,0.9997
426,0.0171,0.9944,0.0027,0.9997
427,0.0097,0.9968,0.0018,1
428,0.0111,0.9969,6.88E-04,1
429,0.0078,0.9977,1.05E-04,1
430,0.0095,0.9971,0.0052,0.9983
431,0.0086,0.9972,8.02E-04,1
432,0.0165,0.9949,0.0038,0.9983
433,0.0186,0.9935,6.84E-04,1
434,0.0111,0.9962,1.64E-04,1
435,0.0194,0.994,4.21E-04,1
436,0.0143,0.9954,2.22E-04,1
437,0.0149,0.9957,0.0138,0.9935
438,0.0218,0.9929,0.0065,0.9986
439,0.0135,0.9953,0.001,0.9997
440,0.0109,0.996,6.50E-04,1
441,0.0124,0.996,3.30E-04,1
442,0.0174,0.9943,5.69E-04,1
443,0.0174,0.9946,5.08E-04,1
444,0.0114,0.9966,0.0033,0.999
445,0.0087,0.9971,2.92E-04,1
446,0.0237,0.9924,0.0047,0.999
447,0.0104,0.9962,0.0247,0.9897
448,0.0199,0.9943,0.0026,0.9997
449,0.0127,0.9958,2.96E-04,1
450,0.0168,0.9947,4.40E-04,1
451,0.0098,0.9968,0.0016,0.9997
452,0.0181,0.9947,0.0028,0.9997
453,0.0123,0.9964,5.45E-04,1
454,0.012,0.9963,5.90E-04,0.9997
455,0.0592,0.9813,0.0014,1
456,0.0299,0.9903,0.0134,0.9952
457,0.0267,0.9908,0.0036,0.9997
458,0.0235,0.9916,4.44E-04,1
459,0.0202,0.9932,0.0043,0.9986
460,0.027,0.9904,0.0017,0.9997
461,0.0193,0.9932,0.0198,0.9901
462,0.026,0.9909,8.18E-04,1
463,0.0272,0.991,5.55E-04,1
464,0.0164,0.9948,0.0736,0.9764
465,0.0245,0.9923,8.12E-04,1
466,0.0138,0.996,7.28E-04,1
467,0.0281,0.9907,0.0032,1
468,0.0118,0.9957,0.0029,0.9993
469,0.0166,0.995,8.90E-04,1
470,0.0186,0.9938,0.2153,0.9192
471,0.0417,0.9865,0.006,0.999
472,0.0167,0.9944,8.58E-04,1
473,0.0216,0.9935,0.0074,0.9969
474,0.0129,0.9958,2.00E-04,1
475,0.0157,0.9949,0.0178,0.9908
476,0.0055,0.9983,0.0087,0.9962
477,0.0157,0.995,0.0015,0.9997
478,0.0248,0.9931,0.0018,1
479,0.0142,0.9952,0.001,1
480,0.0172,0.9946,2.30E-04,1
481,0.0185,0.9944,1.74E-04,1
482,0.013,0.9957,1.35E-04,1
483,0.0166,0.995,1.74E-04,1
484,0.0211,0.9931,2.94E-04,1
485,0.0122,0.9961,0.1942,0.9428
486,0.0172,0.9947,6.08E-04,1
487,0.0164,0.9947,0.002,1
488,0.0092,0.9966,4.37E-04,1
489,0.0146,0.9951,0.0066,0.9983
490,0.0142,0.9955,0.0077,0.9959
491,0.008,0.9974,1.14E-04,1
492,0.0263,0.9925,0.0034,0.9993
493,0.0085,0.9975,1.53E-04,1
494,0.0083,0.9975,0.0236,0.9921
495,0.0483,0.985,0.01,0.9955
496,0.035,0.9885,0.0141,0.9945
497,0.0293,0.9902,0.0163,0.9928
498,0.0294,0.9902,0.0175,0.9962
499,0.0203,0.9933,0.0049,0.998
