,loss,acc,val_loss,val_acc
146,0.6246,0.6486,0.613,0.6573
147,0.6244,0.6505,0.6156,0.6573
148,0.6236,0.6478,0.6137,0.6573
149,0.6275,0.65,0.615,0.6573
150,0.6233,0.6483,0.6212,0.6573
151,0.6234,0.6465,0.6125,0.6573
152,0.6235,0.6485,0.6149,0.6573
153,0.6226,0.6496,0.6132,0.6573
154,0.6264,0.6478,0.63,0.6573
155,0.6246,0.6497,0.6154,0.6573
156,0.6228,0.6488,0.6126,0.6573
157,0.6237,0.6482,0.6136,0.6573
158,0.6236,0.6485,0.6284,0.6573
159,0.6213,0.6486,0.6182,0.6573
160,0.6237,0.6477,0.613,0.6573
161,0.6214,0.6478,0.6245,0.6573
162,0.6258,0.6494,0.6127,0.6573
163,0.6238,0.6475,0.6134,0.6573
164,0.6228,0.6477,0.6121,0.6573
165,0.6282,0.6495,0.6159,0.6573
166,0.6226,0.6497,0.6133,0.6573
167,0.6256,0.6503,0.617,0.6573
168,0.6227,0.6502,0.6195,0.6573
169,0.6264,0.6511,0.6137,0.6573
170,0.6245,0.648,0.6141,0.6573
171,0.6235,0.6503,0.6156,0.6573
172,0.6255,0.6503,0.6167,0.6573
173,0.6208,0.6486,0.6168,0.6573
174,0.6252,0.6494,0.6162,0.6573
175,0.6228,0.6488,0.6138,0.6573
176,0.6224,0.6501,0.6127,0.6573
177,0.6229,0.6476,0.6334,0.6573
178,0.6243,0.6472,0.6144,0.6573
179,0.6225,0.6484,0.6223,0.6573
180,0.6226,0.6487,0.6143,0.6573
181,0.6223,0.6491,0.6122,0.6573
182,0.6229,0.6489,0.6148,0.6573
183,0.6226,0.649,0.6366,0.6573
184,0.6232,0.6468,0.6157,0.6573
185,0.6227,0.6479,0.6129,0.6573
186,0.6229,0.6495,0.616,0.6573
187,0.6247,0.6475,0.6171,0.6573
188,0.6222,0.6491,0.6129,0.6573
189,0.6214,0.6504,0.6203,0.6573
190,0.6231,0.6483,0.6152,0.6573
191,0.6229,0.6474,0.6193,0.6573
192,0.6214,0.6495,0.6153,0.6573
193,0.6232,0.651,0.6147,0.6573
194,0.6247,0.6482,0.6132,0.6573
195,0.6232,0.6501,0.6124,0.6573
196,0.6226,0.649,0.6148,0.6573
197,0.6232,0.651,0.6136,0.6573
198,0.6222,0.65,0.6134,0.6573
199,0.6222,0.6485,0.6137,0.6573
200,0.6219,0.649,0.6224,0.6464
201,0.6225,0.6488,0.6163,0.6573
202,0.6217,0.6486,0.614,0.6573
203,0.6254,0.6488,0.6336,0.6573
204,0.6224,0.6481,0.6126,0.6573
205,0.6217,0.647,0.6188,0.6573
206,0.6204,0.6489,0.6162,0.6573
207,0.6212,0.6468,0.6125,0.6573
208,0.6227,0.6512,0.6126,0.6573
209,0.6225,0.6482,0.6124,0.6573
210,0.622,0.6487,0.6146,0.6573
211,0.622,0.6468,0.6125,0.6573
212,0.6217,0.6484,0.6233,0.6464
213,0.622,0.6461,0.6128,0.6573
214,0.621,0.6484,0.6119,0.6573
215,0.6216,0.6481,0.6183,0.6573
216,0.6237,0.65,0.6144,0.6573
217,0.6214,0.6481,0.6292,0.6464
218,0.6237,0.6494,0.6132,0.6573
219,0.6212,0.6475,0.6147,0.6573
220,0.6239,0.6484,0.6121,0.6573
221,0.6211,0.649,0.6121,0.6573
222,0.6214,0.6484,0.6208,0.6573
223,0.6232,0.6492,0.6116,0.6573
224,0.6245,0.6496,0.6415,0.4307
225,0.6219,0.6492,0.6154,0.6573
226,0.6209,0.6488,0.6203,0.6573
227,0.6227,0.6474,0.6295,0.6464
228,0.6222,0.6482,0.6149,0.6573
229,0.6215,0.6503,0.6128,0.6573
230,0.6219,0.6494,0.6127,0.6573
231,0.6235,0.6473,0.6129,0.6573
232,0.6259,0.6497,0.614,0.6573
233,0.622,0.6493,0.6124,0.6573
234,0.6224,0.6494,0.6147,0.6573
235,0.6227,0.6489,0.6125,0.6573
236,0.6228,0.6503,0.613,0.6573
237,0.623,0.6497,0.6122,0.6573
238,0.6234,0.6478,0.6206,0.6573
239,0.622,0.6506,0.6211,0.6573
240,0.6224,0.6483,0.6135,0.6573
241,0.6227,0.651,0.6131,0.6573
242,0.6219,0.6499,0.6143,0.6573
243,0.6214,0.6498,0.6119,0.6573
244,0.6207,0.6498,0.6135,0.6573
245,0.6215,0.6489,0.6121,0.6573
246,0.6213,0.6497,0.615,0.6573
247,0.6219,0.6486,0.6133,0.6573
248,0.6213,0.6487,0.617,0.6573
249,0.6208,0.6484,0.6135,0.6573
250,0.6245,0.6505,0.613,0.6573
251,0.6207,0.6493,0.6295,0.6464
252,0.6225,0.6495,1.056,0.4307
253,0.6231,0.6491,0.6223,0.6573
254,0.6217,0.6479,0.6145,0.6573
255,0.6221,0.6497,0.6121,0.6573
256,0.6207,0.6502,0.6278,0.6464
257,0.6225,0.6481,0.6148,0.6573
258,0.6223,0.651,0.6121,0.6573
259,0.6218,0.6492,0.6156,0.6573
260,0.6212,0.6491,0.6133,0.6573
261,0.6213,0.6502,0.612,0.6573
262,0.6206,0.6492,0.6127,0.6573
263,0.6209,0.6497,0.6155,0.6573
264,0.622,0.6479,0.6131,0.6573
265,0.6217,0.6497,0.6226,0.6573
266,0.6213,0.6493,0.6138,0.6573
267,0.6234,0.6502,0.6144,0.6573
268,0.6237,0.649,0.6132,0.6573
269,0.6214,0.65,0.6157,0.6573
270,0.6222,0.6496,0.618,0.6573
271,0.6211,0.6482,0.6161,0.6573
272,0.6252,0.6487,0.6148,0.6573
273,0.6235,0.6507,0.6147,0.6573
274,0.6213,0.6497,0.612,0.6573
275,0.6224,0.6495,0.6125,0.6573
276,0.6245,0.6485,0.6129,0.6573
277,0.6216,0.65,0.612,0.6573
278,0.621,0.6514,0.6131,0.6464
279,0.6228,0.6471,0.6265,0.6573
280,0.621,0.6485,0.6184,0.6573
281,0.6199,0.6495,0.626,0.6573
282,0.6236,0.6491,0.6191,0.6573
283,0.6222,0.651,0.6124,0.6573
284,0.6218,0.6498,0.6129,0.6573
285,0.6208,0.6503,0.6111,0.6573
286,0.6213,0.6499,0.6117,0.6573
287,0.6216,0.6508,0.614,0.6573
288,0.621,0.65,0.6139,0.6573
289,0.6212,0.6493,0.6183,0.6573
290,0.6232,0.6496,0.613,0.6573
291,0.6207,0.6497,0.612,0.6573
292,0.6238,0.6504,0.6113,0.6573
293,0.6213,0.6505,0.6125,0.6573
294,0.6212,0.6498,0.6121,0.6573
295,0.6219,0.6482,0.6195,0.6573
296,0.6214,0.6491,0.6114,0.6573
297,0.6216,0.6498,0.6128,0.6573
298,0.621,0.6502,0.612,0.6573
299,0.6215,0.6506,0.6117,0.6573
300,0.6209,0.6493,0.6129,0.6573
301,0.6217,0.649,0.6123,0.6573
302,0.6223,0.6505,0.6132,0.6573
303,0.6212,0.6499,0.6125,0.6573
304,0.622,0.6481,0.6529,0.4307
305,0.6225,0.6484,0.6137,0.6573
306,0.624,0.6509,0.6128,0.6573
307,0.6211,0.6511,0.6121,0.6573
308,0.6216,0.6484,0.6136,0.6573
309,0.6216,0.6495,0.6126,0.6573
310,0.6224,0.6489,0.6136,0.6573
311,0.6233,0.6497,0.6238,0.6573
312,0.6214,0.6489,0.6246,0.6573
313,0.6212,0.6493,0.6144,0.6573
314,0.6218,0.6485,0.6119,0.6573
315,0.6204,0.6487,0.6122,0.6573
316,0.6249,0.6482,0.6118,0.6573
317,0.6228,0.6503,0.6148,0.6573
318,0.6216,0.6487,0.6158,0.6573
319,0.6207,0.6503,0.6119,0.6573
320,0.6211,0.6487,0.6148,0.6573
321,0.621,0.6499,0.6235,0.6573
322,0.6226,0.6488,0.613,0.6573
323,0.6211,0.6498,0.6251,0.6573
324,0.6218,0.6482,0.6116,0.6573
325,0.6217,0.6497,0.6121,0.6573
326,0.622,0.6497,0.6233,0.6464
327,0.6217,0.6506,0.6301,0.6573
328,0.6225,0.6478,0.6128,0.6573
329,0.6218,0.6473,0.6145,0.6573
330,0.6202,0.6495,0.613,0.6573
331,0.6214,0.6508,0.6361,0.6464
332,0.6213,0.6478,0.6119,0.6573
333,0.6221,0.65,0.6114,0.6573
334,0.6218,0.6504,0.615,0.6573
335,0.6212,0.6501,0.623,0.6464
336,0.6214,0.6494,0.6207,0.6464
337,0.6214,0.6486,0.6162,0.6573
338,0.6219,0.6521,0.611,0.6573
339,0.6224,0.6502,0.6152,0.6573
340,0.6217,0.6498,0.6144,0.6573
341,0.6217,0.6497,0.6143,0.6573
342,0.6223,0.6504,0.6323,0.6573
343,0.6219,0.6493,0.6137,0.6464
344,0.6206,0.6511,0.6164,0.6573
345,0.6229,0.65,0.615,0.6573
346,0.6209,0.6493,0.6398,0.6464
347,0.6212,0.6502,0.6137,0.6573
348,0.623,0.6492,0.6449,0.6464
349,0.6214,0.6502,0.6137,0.6573
350,0.6204,0.6498,0.6164,0.6573
351,0.6214,0.6498,0.6138,0.6573
352,0.6206,0.6491,0.6166,0.6573
353,0.6213,0.6487,0.6118,0.6573
354,0.6196,0.6508,0.6151,0.6573
355,0.6209,0.65,0.6153,0.6573
356,0.6214,0.6492,0.6148,0.6573
357,0.621,0.6499,0.618,0.6573
358,0.6227,0.6494,0.616,0.6573
359,0.6218,0.6497,0.6135,0.6573
360,0.6221,0.6494,0.6118,0.6573
361,0.6204,0.6492,0.6186,0.6573
362,0.6215,0.65,0.6126,0.6573
363,0.6207,0.6482,0.6126,0.6573
364,0.6221,0.6495,0.6183,0.6573
365,0.6213,0.6492,0.6335,0.6573
366,0.6213,0.6502,0.6118,0.6573
367,0.6214,0.648,0.6115,0.6573
368,0.6224,0.649,0.6131,0.6573
369,0.6206,0.6511,0.6297,0.6464
370,0.6217,0.6475,0.6137,0.6573
371,0.6206,0.6513,0.6185,0.6573
372,0.6209,0.6505,0.6144,0.6573
373,0.6195,0.6487,0.6271,0.6573
374,0.6218,0.6503,0.6108,0.6573
375,0.6207,0.6496,0.6121,0.6573
376,0.6213,0.6497,0.6303,0.6573
377,0.6222,0.6484,0.6118,0.6573
378,0.6215,0.6491,0.6278,0.6573
379,0.6205,0.6502,0.6144,0.6573
380,0.6201,0.6495,0.6122,0.6573
381,0.621,0.6487,0.6177,0.6573
382,0.6216,0.6512,0.6118,0.6573
383,0.6217,0.649,0.6255,0.6573
384,0.6207,0.6482,0.628,0.6573
385,0.6209,0.648,0.6114,0.6573
386,0.6228,0.6502,0.6248,0.6573
