,loss,acc,val_loss,val_acc
147,0.3257,0.8334,0.5851,0.7097
148,0.3233,0.8335,0.5633,0.7203
149,0.3252,0.8349,0.564,0.7145
150,0.3237,0.8332,0.5718,0.7114
151,0.3243,0.834,0.5795,0.7107
152,0.3237,0.8344,0.5798,0.7059
153,0.3236,0.836,0.6099,0.6878
154,0.3216,0.8347,0.5851,0.7114
155,0.3222,0.8334,0.5812,0.7107
156,0.3233,0.8344,0.5757,0.7162
157,0.3226,0.8344,0.5758,0.7104
158,0.3227,0.8342,0.5715,0.7159
159,0.3223,0.8344,0.5971,0.7032
160,0.3195,0.8382,0.5793,0.7234
161,0.3207,0.836,0.5834,0.7148
162,0.3202,0.8376,0.5848,0.7063
163,0.3217,0.835,0.5777,0.7193
164,0.3201,0.8382,0.5872,0.7169
165,0.3205,0.8361,0.5829,0.7117
166,0.3215,0.8363,0.5893,0.6953
167,0.3227,0.8339,0.5975,0.7049
168,0.3195,0.8365,0.5886,0.7097
169,0.3196,0.8359,0.5771,0.7097
170,0.3186,0.8375,0.583,0.7111
171,0.3197,0.836,0.5825,0.7172
172,0.3202,0.8357,0.5789,0.7135
173,0.3185,0.8368,0.5726,0.7135
174,0.3178,0.8372,0.5796,0.7046
175,0.3187,0.8372,0.5688,0.7155
176,0.3171,0.8366,0.5833,0.7111
177,0.3196,0.8342,0.5786,0.7046
178,0.3182,0.8358,0.5881,0.7059
179,0.316,0.8368,0.581,0.722
180,0.3178,0.8348,0.5937,0.7001
181,0.3155,0.8385,0.5933,0.696
182,0.316,0.8382,0.5757,0.7162
183,0.3173,0.8362,0.5745,0.7179
184,0.3164,0.8381,0.5777,0.7206
185,0.3165,0.8388,0.5786,0.71
186,0.3178,0.8367,0.5882,0.7169
187,0.3176,0.8361,0.5678,0.72
188,0.3179,0.8357,0.574,0.7114
189,0.3154,0.8372,0.5882,0.7022
190,0.3157,0.8367,0.5866,0.7073
191,0.3171,0.8405,0.5729,0.7217
192,0.317,0.8365,0.5777,0.7165
193,0.316,0.8404,0.5911,0.6991
194,0.3162,0.8379,0.5775,0.7028
195,0.3143,0.8392,0.5677,0.7159
196,0.313,0.8371,0.5743,0.7148
197,0.315,0.8369,0.5793,0.7189
198,0.314,0.8379,0.5721,0.7165
199,0.3142,0.8386,0.5717,0.7097
200,0.3135,0.8378,0.5735,0.7141
201,0.3132,0.8387,0.5766,0.7052
202,0.3131,0.8384,0.5572,0.7254
203,0.3123,0.8386,0.5817,0.7145
204,0.3145,0.8375,0.575,0.7032
205,0.3136,0.8376,0.5743,0.7176
206,0.3136,0.8396,0.5652,0.7152
207,0.3113,0.8401,0.5873,0.7111
208,0.3124,0.8391,0.5817,0.7148
209,0.3126,0.8382,0.5706,0.7152
210,0.3124,0.8396,0.5741,0.7138
211,0.3115,0.8396,0.5788,0.7145
212,0.3118,0.8387,0.5834,0.7162
213,0.3112,0.8386,0.5797,0.7128
214,0.3116,0.8388,0.593,0.7056
215,0.3131,0.8379,0.5804,0.7107
216,0.3111,0.84,0.5832,0.7039
217,0.3107,0.8401,0.5732,0.7046
218,0.3122,0.8371,0.5733,0.7224
219,0.3124,0.8387,0.5763,0.7186
220,0.3107,0.8387,0.5705,0.7193
221,0.3095,0.8389,0.574,0.7093
222,0.3094,0.8411,0.574,0.7159
223,0.3105,0.8387,0.5776,0.7179
224,0.31,0.838,0.5772,0.7083
225,0.3089,0.8399,0.587,0.7124
226,0.3096,0.8393,0.5752,0.7189
227,0.309,0.8409,0.594,0.7107
228,0.3112,0.8379,0.5744,0.7159
229,0.3092,0.8379,0.5872,0.7083
230,0.3113,0.8392,0.5975,0.6984
231,0.3083,0.8412,0.5702,0.7172
232,0.3094,0.8387,0.5956,0.7083
233,0.3091,0.8402,0.5809,0.7117
234,0.3085,0.8393,0.5865,0.7114
235,0.3081,0.8404,0.5836,0.7145
236,0.3085,0.8406,0.5984,0.7008
237,0.3064,0.842,0.578,0.7159
238,0.3083,0.8407,0.5899,0.6967
239,0.3076,0.8404,0.585,0.7022
240,0.3088,0.8386,0.5798,0.7087
241,0.3078,0.8393,0.5766,0.7073
242,0.3074,0.8399,0.5835,0.7141
243,0.3086,0.8406,0.5987,0.709
244,0.3068,0.8424,0.61,0.7011
245,0.3071,0.8399,0.5815,0.7189
246,0.3064,0.839,0.5904,0.7148
247,0.3075,0.8381,0.5755,0.7213
248,0.3062,0.8415,0.5882,0.7145
249,0.3066,0.8403,0.5822,0.7145
250,0.3064,0.8399,0.5861,0.7206
251,0.3045,0.8396,0.5926,0.7141
252,0.305,0.8426,0.5898,0.7131
253,0.3043,0.8428,0.5927,0.7114
254,0.3063,0.8412,0.5986,0.7015
255,0.3058,0.8402,0.5919,0.7032
256,0.3056,0.8418,0.5938,0.7111
257,0.3042,0.8416,0.5931,0.7117
258,0.3041,0.8409,0.6029,0.7028
259,0.3054,0.8422,0.5716,0.7159
260,0.3052,0.8389,0.5963,0.7104
261,0.3054,0.8399,0.594,0.7083
262,0.3059,0.8413,0.5861,0.7128
263,0.3054,0.8394,0.5808,0.71
264,0.3073,0.8412,0.5937,0.7018
265,0.3031,0.842,0.5912,0.7241
266,0.3045,0.8411,0.584,0.7128
267,0.3044,0.8417,0.6034,0.7004
268,0.3038,0.8405,0.5888,0.7152
269,0.3029,0.8428,0.5918,0.6987
270,0.3038,0.8421,0.5942,0.7032
271,0.3025,0.842,0.6052,0.7073
272,0.3026,0.8434,0.5845,0.7056
273,0.3046,0.8406,0.5821,0.7107
274,0.3035,0.8411,0.597,0.7059
275,0.3017,0.8429,0.5786,0.7193
276,0.3013,0.8422,0.6087,0.7087
277,0.302,0.8425,0.5934,0.7087
278,0.3018,0.843,0.5823,0.7073
279,0.3019,0.8419,0.5736,0.7159
280,0.303,0.842,0.6003,0.7083
281,0.302,0.8441,0.6127,0.6933
282,0.3014,0.8438,0.5785,0.7138
283,0.3012,0.843,0.5863,0.7124
284,0.3014,0.8437,0.5965,0.7059
285,0.3,0.8443,0.5864,0.7001
286,0.3005,0.8441,0.6032,0.7025
287,0.3012,0.8424,0.6005,0.7056
288,0.3008,0.8433,0.5941,0.7035
289,0.2995,0.8454,0.5835,0.708
290,0.3021,0.8405,0.5953,0.7076
291,0.3,0.8438,0.5823,0.7152
292,0.3005,0.8419,0.5875,0.7097
293,0.2995,0.8422,0.6276,0.6933
294,0.301,0.8425,0.6003,0.7128
295,0.3005,0.8442,0.585,0.7117
296,0.2995,0.8446,0.589,0.71
297,0.3009,0.8449,0.5904,0.7152
298,0.3006,0.8411,0.5921,0.7189
299,0.2999,0.8431,0.5919,0.7155
300,0.2993,0.8436,0.5965,0.7155
301,0.2995,0.8431,0.5804,0.7169
302,0.2983,0.8462,0.5917,0.7121
303,0.2992,0.8454,0.5834,0.7162
304,0.2995,0.8434,0.5849,0.7159
305,0.2987,0.8439,0.5985,0.7052
306,0.2998,0.8435,0.6194,0.6953
307,0.2965,0.8444,0.5836,0.7104
308,0.2976,0.8453,0.6077,0.7135
309,0.2985,0.8437,0.582,0.7176
310,0.2978,0.8418,0.5953,0.7138
311,0.2984,0.8417,0.596,0.7141
312,0.2975,0.8438,0.5864,0.7141
313,0.2973,0.845,0.5923,0.7093
314,0.2977,0.844,0.5991,0.7138
315,0.2978,0.8459,0.6068,0.7032
316,0.2979,0.8436,0.5883,0.7169
317,0.2975,0.8436,0.5882,0.7039
318,0.2967,0.8451,0.5856,0.7169
319,0.2968,0.8425,0.5908,0.7159
320,0.298,0.8452,0.5884,0.7176
321,0.2972,0.8442,0.6315,0.6919
322,0.2969,0.8447,0.579,0.7087
323,0.2963,0.8437,0.6034,0.7107
324,0.2964,0.8446,0.6046,0.7135
325,0.2954,0.8457,0.5885,0.709
326,0.2955,0.8444,0.5924,0.7169
327,0.2959,0.8434,0.6258,0.695
328,0.2965,0.8446,0.6057,0.7073
329,0.2947,0.8457,0.6037,0.7039
330,0.2947,0.845,0.5907,0.7169
331,0.2951,0.844,0.6078,0.7114
332,0.2936,0.8458,0.6097,0.7025
333,0.2955,0.846,0.6026,0.7076
334,0.2952,0.8452,0.5987,0.7107
335,0.294,0.8459,0.6045,0.7087
336,0.2961,0.842,0.6073,0.7131
337,0.2944,0.8456,0.5976,0.7104
338,0.2946,0.8448,0.5938,0.7138
339,0.2929,0.8477,0.6008,0.7152
340,0.2942,0.8455,0.6007,0.7069
341,0.2935,0.8485,0.5918,0.7162
342,0.2937,0.8451,0.6117,0.7111
343,0.2933,0.8457,0.6142,0.7111
344,0.293,0.846,0.6065,0.708
345,0.2934,0.8462,0.6339,0.6939
346,0.2929,0.8451,0.5915,0.7189
347,0.292,0.8464,0.6561,0.6888
348,0.294,0.8444,0.5993,0.7063
349,0.2929,0.8447,0.5858,0.7159
350,0.2914,0.8459,0.6104,0.7087
351,0.2938,0.8476,0.6046,0.7073
352,0.2942,0.8452,0.5872,0.7093
353,0.2918,0.8476,0.5882,0.7182
354,0.2918,0.8455,0.6022,0.7117
355,0.292,0.8452,0.5962,0.7093
356,0.2927,0.8481,0.5937,0.7217
357,0.2915,0.8479,0.5835,0.7131
358,0.2918,0.8458,0.6057,0.7046
359,0.2912,0.8455,0.6161,0.7093
360,0.2916,0.8466,0.5956,0.7097
361,0.2912,0.8452,0.5957,0.7179
362,0.2913,0.8476,0.6034,0.7069
363,0.2914,0.8455,0.5936,0.7135
364,0.2919,0.8448,0.5958,0.7165
365,0.2913,0.8483,0.6091,0.7172
366,0.2897,0.8483,0.6258,0.7015
367,0.2905,0.8463,0.6007,0.7145
368,0.2907,0.8449,0.6006,0.7121
369,0.2894,0.8471,0.6083,0.7056
370,0.2911,0.8468,0.5954,0.7145
371,0.2901,0.8451,0.5983,0.7155
372,0.2908,0.8459,0.5959,0.7117
373,0.2898,0.8462,0.615,0.708
374,0.2889,0.8478,0.6065,0.7022
375,0.2896,0.8492,0.62,0.7066
376,0.2891,0.8483,0.6311,0.7073
377,0.2898,0.8467,0.6093,0.7076
