,loss,acc,val_loss,val_acc
0,0.0706 ,0.9713 ,2.2367e-04 ,1.0000
1,1.7146e-04 ,1.0000 ,1.9764e-05 ,1.0000
2,3.3162e-05 ,1.0000 ,8.4375e-06 ,1.0000
3,2.1590e-05 ,1.0000 ,4.9894e-06 ,1.0000
4,1.1069e-05 ,1.0000 ,3.0491e-06 ,1.0000
5,8.6344e-06 ,1.0000 ,2.4673e-06 ,1.0000
6,6.5268e-06 ,1.0000 ,2.1247e-06 ,1.0000
7,5.6425e-06 ,1.0000 ,1.6950e-06 ,1.0000
8,5.2967e-06 ,1.0000 ,1.6061e-06 ,1.0000
9,4.5516e-06 ,1.0000 ,1.2471e-06 ,1.0000
10,4.0247e-06 ,1.0000 ,1.1120e-06 ,1.0000
11,3.9586e-06 ,1.0000 ,1.0437e-06 ,1.0000
12,2.9747e-06 ,1.0000 ,9.6236e-07 ,1.0000
13,2.5784e-06 ,1.0000 ,8.5424e-07 ,1.0000
14,2.7159e-06 ,1.0000 ,8.9428e-07 ,1.0000
15,2.5706e-06 ,1.0000 ,7.3526e-07 ,1.0000
16,2.5536e-06 ,1.0000 ,7.6061e-07 ,1.0000
17,2.1845e-06 ,1.0000 ,7.2170e-07 ,1.0000
18,1.9545e-06 ,1.0000 ,7.3507e-07 ,1.0000
19,2.0783e-06 ,1.0000 ,6.1135e-07 ,1.0000
20,1.7715e-06 ,1.0000 ,6.5932e-07 ,1.0000
21,1.9439e-06 ,1.0000 ,8.7847e-07 ,1.0000
22,1.9223e-06 ,1.0000 ,7.6256e-07 ,1.0000
23,1.6960e-06 ,1.0000 ,6.0919e-07 ,1.0000
24,1.4153e-06 ,1.0000 ,5.5627e-07 ,1.0000
25,1.5720e-06 ,1.0000 ,5.3537e-07 ,1.0000
26,1.4153e-06 ,1.0000 ,5.4048e-07 ,1.0000
27,1.2697e-06 ,1.0000 ,5.6988e-07 ,1.0000
28,1.3726e-06 ,1.0000 ,6.1002e-07 ,1.0000
29,1.4381e-06 ,1.0000 ,5.7193e-07 ,1.0000
30,1.2195e-06 ,1.0000 ,6.1897e-07 ,1.0000
31,1.3094e-06 ,1.0000 ,6.5746e-07 ,1.0000
32,1.0676e-06 ,1.0000 ,6.5931e-07 ,1.0000
33,1.5620e-06 ,1.0000 ,6.6628e-07 ,1.0000
34,1.1211e-06 ,1.0000 ,7.0932e-07 ,1.0000
35,1.0692e-06 ,1.0000 ,5.9390e-07 ,1.0000
36,1.0544e-06 ,1.0000 ,6.0927e-07 ,1.0000
37,9.8049e-07 ,1.0000 ,5.4894e-07 ,1.0000
38,8.2357e-07 ,1.0000 ,5.8502e-07 ,1.0000
39,8.6128e-07 ,1.0000 ,4.8689e-07 ,1.0000
40,8.7718e-07 ,1.0000 ,4.6023e-07 ,1.0000
41,8.8245e-07 ,1.0000 ,5.0253e-07 ,1.0000
42,8.9566e-07 ,1.0000 ,4.6676e-07 ,1.0000
43,9.8820e-07 ,1.0000 ,4.5135e-07 ,1.0000
44,7.6472e-07 ,1.0000 ,4.5131e-07 ,1.0000
45,9.1124e-07 ,1.0000 ,4.1582e-07 ,1.0000
46,8.4998e-07 ,1.0000 ,3.9875e-07 ,1.0000
47,8.0204e-07 ,1.0000 ,3.5079e-07 ,1.0000
48,7.4368e-07 ,1.0000 ,3.4836e-07 ,1.0000
49,8.6331e-07 ,1.0000 ,3.5397e-07 ,1.0000
50,7.9627e-07 ,1.0000 ,3.4487e-07 ,1.0000
51,7.6773e-07 ,1.0000 ,3.4499e-07 ,1.0000
52,7.8292e-07 ,1.0000 ,3.3276e-07 ,1.0000
53,7.7896e-07 ,1.0000 ,3.6350e-07 ,1.0000
54,6.2119e-07 ,1.0000 ,3.7969e-07 ,1.0000
55,7.6785e-07 ,1.0000 ,3.5165e-07 ,1.0000
56,6.9940e-07 ,1.0000 ,3.8890e-07 ,1.0000
57,7.3959e-07 ,1.0000 ,4.0816e-07 ,1.0000
58,7.1870e-07 ,1.0000 ,4.3492e-07 ,1.0000
59,6.6505e-07 ,1.0000 ,3.7370e-07 ,1.0000
60,6.0659e-07 ,1.0000 ,3.6006e-07 ,1.0000
61,5.7425e-07 ,1.0000 ,3.4108e-07 ,1.0000
62,7.3380e-07 ,1.0000 ,3.4012e-07 ,1.0000
63,5.7248e-07 ,1.0000 ,3.4173e-07 ,1.0000
64,5.8758e-07 ,1.0000 ,3.3848e-07 ,1.0000
65,5.8537e-07 ,1.0000 ,3.2108e-07 ,1.0000
66,6.5376e-07 ,1.0000 ,3.1126e-07 ,1.0000
67,5.9134e-07 ,1.0000 ,3.3418e-07 ,1.0000
68,6.0368e-07 ,1.0000 ,3.1898e-07 ,1.0000
69,5.8791e-07 ,1.0000 ,3.0504e-07 ,1.0000
70,5.2330e-07 ,1.0000 ,2.9710e-07 ,1.0000
71,5.2752e-07 ,1.0000 ,2.8550e-07 ,1.0000
72,5.3723e-07 ,1.0000 ,2.5989e-07 ,1.0000
73,5.5080e-07 ,1.0000 ,2.5622e-07 ,1.0000
74,5.5529e-07 ,1.0000 ,2.5250e-07 ,1.0000
75,4.9852e-07 ,1.0000 ,2.4765e-07 ,1.0000
76,5.3812e-07 ,1.0000 ,2.5130e-07 ,1.0000
77,4.7461e-07 ,1.0000 ,2.4838e-07 ,1.0000
78,4.8301e-07 ,1.0000 ,2.5334e-07 ,1.0000
79,5.2641e-07 ,1.0000 ,2.4646e-07 ,1.0000
80,4.7816e-07 ,1.0000 ,2.5567e-07 ,1.0000
81,4.8321e-07 ,1.0000 ,2.6089e-07 ,1.0000
82,4.6297e-07 ,1.0000 ,2.5050e-07 ,1.0000
83,4.8887e-07 ,1.0000 ,2.4512e-07 ,1.0000
84,4.8155e-07 ,1.0000 ,2.3346e-07 ,1.0000
85,5.1951e-07 ,1.0000 ,2.3220e-07 ,1.0000
86,4.8393e-07 ,1.0000 ,2.3808e-07 ,1.0000
87,4.9239e-07 ,1.0000 ,2.5085e-07 ,1.0000
88,4.4314e-07 ,1.0000 ,2.4159e-07 ,1.0000
89,4.1954e-07 ,1.0000 ,2.4426e-07 ,1.0000
90,4.4232e-07 ,1.0000 ,2.4361e-07 ,1.0000
91,3.9155e-07 ,1.0000 ,2.4042e-07 ,1.0000
92,4.0676e-07 ,1.0000 ,2.4081e-07 ,1.0000
93,4.9508e-07 ,1.0000 ,2.3265e-07 ,1.0000
94,4.4020e-07 ,1.0000 ,2.3002e-07 ,1.0000
95,4.6070e-07 ,1.0000 ,2.3730e-07 ,1.0000
96,4.0812e-07 ,1.0000 ,2.3734e-07 ,1.0000
97,4.1464e-07 ,1.0000 ,2.2957e-07 ,1.0000
98,4.0655e-07 ,1.0000 ,2.2014e-07 ,1.0000
99,3.8011e-07 ,1.0000 ,2.1530e-07 ,1.0000
100,3.9466e-07 ,1.0000 ,2.2532e-07 ,1.0000
101,4.2998e-07 ,1.0000 ,2.2440e-07 ,1.0000
